sampleId,COMID,Lat,Long,pct_NP25km,reference,mEPTR_f,mEPTR_nf,mIR_f,mIR_nf,mMMI_rr_nf,mMMI_rr_f,mMMI_trad_nf,mMMI_trad_f,OoverE_trad0_nf,OoverE_trad0_f,OoverE_trad5_f,OoverE_trad5_nf,OoverE_rra_nf,OoverE_rra_f,OoverE_rrb_nf,OoverE_rrb_f,OoverE_rrb_armor_f,OoverE_rrb_crawl_f,OoverE__rrb_desication_f,OoverE__rrb_dispersal_f,OoverE__rrb_flystrength_f,OoverE__rrb_lifespan_f,OoverE__rrb_maxsize_f,OoverE__rrb_respire_f,OoverE__rrb_rheo_f,OoverE__rrb_swim_f,OoverE__rrb_drift_f,OoverE__rrb_emergence_f,OoverE__rrb_thermal_f,OoverE__rrb_voltinism_f,OoverE__rrb_armor,OoverE__rrb_crawl,OoverE__rrb_desication,OoverE__rrb_dispersal,OoverE__rrb_flystrength,OoverE__rrb_lifespan,OoverE__rrb_maxsize,OoverE__rrb_respire,OoverE__rrb_rheo,OoverE__rrb_swim,OoverE__rrb_drift,OoverE__rrb_emergence,OoverE__rrb_thermal,OoverE__rrb_voltinism,OoverE_dendrogram_group
183329,20709491,36.3942883,-112.6325511,98.56664922,Y,0.826823826,0.739387869,1.300319117,1.275522177,1.068273837,1.123698817,1.057102124,1.087068122,1.075374776,1.088176698,1.033094257,0.969091012,0.8543642,0.862293456,0.845076259,0.830638309,1.150758384,1.150736114,0.186462857,1.911958384,1.067033441,1.366077442,0.643155819,0.441668807,0.752353967,0.552972216,0.446656698,0.028260648,1.230083163,0.700758379,1.266018288,1.158991046,0.230873764,1.820528805,1.022343706,1.383408191,0.871689155,0.454245055,0.716527449,0.554609845,0.431609413,0.027792673,1.192934188,0.699496043,8
183334,20716600,36.018735,-113.353405,99.93245729,Y,0.715436915,0.487329849,1.011963018,0.891001951,0.826532353,0.881319088,0.835872111,0.877385458,0.827351824,0.836980886,0.631517927,0.580559606,0.915625804,0.945644978,0.890666581,0.905256041,1.229084061,1.157952122,0.099919414,2.319357016,1.151801678,0.962596533,0.869550479,0.403971103,1.341923938,0.602165106,0.515049639,0.03249714,1.285063808,0.702652536,1.485714782,1.15980342,0.153174735,1.985704489,1.052416858,1.007754103,1.155089454,0.433904989,1.079369073,0.57842541,0.460530308,0.029678751,1.187312287,0.70045348,8
183343,20515757,36.1925,-111.7966667,97.56931682,N,0.126961556,0.137315482,0.233528611,0.216465704,0.667211054,0.696414828,0.656113604,0.659998531,0.154217382,0.155805071,0.357546188,0.253485667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
183345,20585164,34.0779042,-109.4268253,67.84066012,Y,0.945738614,0.932594033,1.151098991,1.173576418,0.831757184,0.840901224,0.858610415,0.870563427,1.070822501,1.068251283,1.18413943,1.17960574,1.119238217,1.106861956,1.185770095,1.192302774,0.967316664,1.217022228,3.202039398,0.847625144,0.933388573,0.420940085,1.095324142,0.69685992,1.262335992,1.090691084,1.484819071,1.278687907,1.009520138,1.185668496,1.027148133,1.444614043,2.436765247,0.747233763,1.130328342,0.444596903,1.225940839,0.72081563,1.174070148,1.100653502,1.565049041,1.397040677,0.978300946,1.208224117,6
183347,20586684,33.9771342,-109.092995,72.02676707,Y,0.732809691,0.842876074,0.906032136,0.91974507,1.019200758,0.986181201,1.142359796,1.113121716,1.130137988,1.127443002,1.39249721,1.3483309,1.039360672,1.027688083,1.281762229,1.194290695,0.627572399,1.225964271,4.00641085,0.679341205,1.044116992,0.850562009,0.887437567,0.976147392,1.301792431,1.050541113,1.410077253,0.558451158,1.040182717,1.061472371,0.608801043,1.192139258,5.124838163,0.75426506,0.983365374,0.820091091,0.923126226,0.957550181,1.339860737,1.045333143,1.467678507,0.565752633,1.085057067,1.076812725,5
183349,21762444,34.1799675,-109.6188642,75.30961846,Y,0.770145495,0.776739756,0.902746171,0.997478131,1.11227029,1.11406012,1.146073094,1.166672895,0.963435362,0.95321906,1.314358302,1.272701336,0.985919246,1.014642591,1.041156326,1.0814637,1.108327706,0.855637674,1.944077059,0.759427545,1.528536545,1.144203126,0.922001197,1.128328337,0.974012297,0.999053935,0.925760057,0.738577092,1.156903124,0.955646111,1.174346987,1.029291345,1.258176654,0.57732024,1.697178931,1.202656968,0.891482515,1.172990775,0.865389417,1.106481953,0.894461769,0.73025742,1.03166098,0.944492608,6
183350,20586804,33.9179678,-109.1513286,68.28242377,Y,0.695733271,0.761945302,0.820802713,0.794932133,0.968666448,0.952155693,0.975815311,0.960772538,0.814402454,0.813534726,1.145553518,1.145111199,1.046418109,1.0452897,1.397753502,1.366023833,0.322454577,1.112193567,4.048519279,2.214513644,2.891122992,0.928808144,0.865559169,1.076476735,1.224891305,1.504522899,1.116893998,0.048136734,0.957374537,0.812866079,0.318752613,1.103993535,4.422646836,2.274187245,2.802916109,0.915222837,0.959368113,1.068093668,1.231165594,1.514881492,1.127878883,0.047988867,0.965672373,0.815780864,5
183352,20585206,34.0707514,-109.4102656,67.57080441,Y,0.845805091,0.895792124,0.771035294,0.781400934,0.987634901,0.979017603,1.012298611,1.002456704,0.842365882,0.840559811,0.961687858,0.96058005,1.009365497,1.006839608,1.03724249,1.025093067,0.651348367,1.018127662,1.312256314,1.449876592,1.052187282,0.249747539,1.000086392,0.76586438,1.186772133,1.453323438,1.081881218,0.994656134,1.107252198,1.027923293,0.691947522,1.198541408,0.977638086,1.250605293,1.250168603,0.264038722,1.235531645,0.792998807,1.099643126,1.489141575,1.114204796,1.06202225,1.056540862,1.038372159,6
183353,20586666,33.9892575,-109.4652972,55.14785741,Y,0.366377583,0.376715219,0.495229928,0.509483364,0.91301165,0.917245185,0.925622947,0.920751322,0.771246375,0.770390141,0.923528077,0.922316012,0.953472258,0.955013829,1.203861074,1.189092799,1.201137698,0.885244302,4.169532365,1.178134657,1.558937251,0.945051434,0.868909194,0.908041325,1.242195532,1.456274284,0.401856967,0.048926618,0.970732992,0.812324569,1.181798168,0.886022428,4.478496799,1.18963407,1.474350155,0.92228841,0.848585783,0.898336615,1.238750039,1.492842141,0.406074494,0.048427296,0.972476304,0.815972338,5
183366,15895564,31.8848589,-110.55486,98.32288987,Y,1.051505833,1.006154344,0.824595856,0.796564783,0.905745809,0.868691068,0.891022216,0.87340507,0.890444846,0.891586212,0.972378126,0.973494296,1.029821508,1.03027166,1.021353561,0.995500822,1.106925073,0.841082152,0.286980888,2.101778224,2.311824548,0.857258613,1.141421113,0.801335615,1.089728183,0.650914413,0.738267572,0.027412251,1.146298913,0.835783944,1.109628341,0.840627604,0.291303797,2.098891597,2.30892153,0.857595046,1.5059358,0.802095879,1.087591839,0.650395833,0.737389697,0.02737637,1.145459358,0.835737165,8
